ID,Name,Employer,Salary From,Salary To,City,URL
114927166,"Стажер, Data Science Global markets",СБЕР,,,Москва,https://hh.ru/vacancy/114927166
114946712,"Старший менеджер по работе с ключевыми клиентами, г. Липецк",СБЕР,90000,,Липецк,https://hh.ru/vacancy/114946712
113156825,Менеджер контроля качества в отделе продаж (удаленно),Университет искусственного интеллекта,50000,,Москва,https://hh.ru/vacancy/113156825
113157236,Python-разработчик,target ai,100000,150000,Москва,https://hh.ru/vacancy/113157236
114993339,QA Tester / QA Engineer,Nexpanse,400,1000,Москва,https://hh.ru/vacancy/114993339
114200526,Режиссер монтажа,Emotion Media Production,70000,120000,Москва,https://hh.ru/vacancy/114200526
114920256,"AI-художник / Prompt Engineer / Графический дизайнер (MidJourney, AI Art)",Playnera,40000,,Санкт-Петербург,https://hh.ru/vacancy/114920256
114966179,Графический дизайнер - иллюстратор / Креативный дизайнер,Digital Agency Siart,,,Москва,https://hh.ru/vacancy/114966179
115131400,Бизнес-ассистент,Котов Павел Анатольевич,50000,,Москва,https://hh.ru/vacancy/115131400
112749973,Head of SEO / SEO Team Lead / Руководитель SEO-отдела,MOZGИИ,500000,,Москва,https://hh.ru/vacancy/112749973
115013091,Менеджер проектов,Polza Agency (ИП Ерхов Никита Владимирович),35000,85000,Москва,https://hh.ru/vacancy/115013091
106798519,Менеджер по развитию малого бизнеса,СБЕР,168200,,Москва,https://hh.ru/vacancy/106798519
115025915,Бизнес-ассистент,Affilyx (ООО Здоровье Онлайн),,,Санкт-Петербург,https://hh.ru/vacancy/115025915
114690820,Аккаунт-менеджер / Менеджер проектов,ГПМ Партнер,,,Москва,https://hh.ru/vacancy/114690820
115006270,Telegram Bots Developer,EmFi Technologies Limited,3000,,Москва,https://hh.ru/vacancy/115006270
115062485,Data Engineer,LATOKEN,220000,340000,Москва,https://hh.ru/vacancy/115062485
112175710,UI/UX дизайнер,Affilyx (ООО Здоровье Онлайн),,85000,Санкт-Петербург,https://hh.ru/vacancy/112175710
78367597,Junior IT специалист,АБК,52800,,Орел,https://hh.ru/vacancy/78367597
114079023,Менеджер по B2B продажам высокотехнологичных решений (ИИ и нейросети),Дзюба Богдан,,300000,Москва,https://hh.ru/vacancy/114079023
115107206,Middle+/Senior Project Manager (AI проекты),EORA,,,Москва,https://hh.ru/vacancy/115107206
115118806,Data Scientist,СБЕР,,,Москва,https://hh.ru/vacancy/115118806
115105117,Удаленный бизнес-ассистент Дамира Халилова,Халилов Дамир Нариманович,60000,,Москва,https://hh.ru/vacancy/115105117
114290764,Менеджер по продажам B2B (digital marketing),Роксот,150000,500000,Москва,https://hh.ru/vacancy/114290764
112986899,"Дизайнер (web и мобильные интерфейсы, UX / UI-дизайн)",look.online,150000,,Москва,https://hh.ru/vacancy/112986899
113336072,AI designer / Content Creator,DevSect,,,Москва,https://hh.ru/vacancy/113336072
112867113,Копирайтер,Ботхаб,30000,,Ростов-на-Дону,https://hh.ru/vacancy/112867113
115079928,Системный администратор DevOps mid,Смартвокс ИТ,150000,250000,Москва,https://hh.ru/vacancy/115079928
113703178,Промпт-инженер/Promp-engineer,BotsellerAI,45000,75000,Москва,https://hh.ru/vacancy/113703178
112524874,Quality Assurance Engineer | QA | Тестировщик,Rubius,,,Москва,https://hh.ru/vacancy/112524874
114824989,Head of T&D,Островок,,,Москва,https://hh.ru/vacancy/114824989
114987333,Менеджер по внутренним коммуникациям,TRACE studio,,,Санкт-Петербург,https://hh.ru/vacancy/114987333
113243950,Программист-разработчик,Gybernaty,,,Москва,https://hh.ru/vacancy/113243950
112055487,Менеджер по работе с клиентами | Менеджер по продажам (IT),ЕМЕ,300000,,Москва,https://hh.ru/vacancy/112055487
112070405,Junior AI Engineer,EmFi Technologies Limited,1000,1500,Москва,https://hh.ru/vacancy/112070405
112867109,Копирайтер,Ботхаб,30000,,Екатеринбург,https://hh.ru/vacancy/112867109
112867110,Копирайтер,Ботхаб,30000,,Новосибирск,https://hh.ru/vacancy/112867110
115125675,Data Engineer / Инженер данных,Цифровой аудит,,,Москва,https://hh.ru/vacancy/115125675
113004833,Стажер Data scientist (LLM в корпоративном кредитовании),СБЕР,,,Москва,https://hh.ru/vacancy/113004833
111790740,"Продуктовый Дизайнер в hr, talent - tech стартап (международный)/Product Designer",Буров Алексей Константинович,100000,500000,Москва,https://hh.ru/vacancy/111790740
114233850,Менеджер по работе с партнерами (Partner Success Manager),Оскола Михаил Витальевич,150000,225000,Москва,https://hh.ru/vacancy/114233850
115125701,"QA инженер (auto+manual, Python)",ФИНАМ,,,Москва,https://hh.ru/vacancy/115125701
115113366,"Программист-разработчик (офис, Воронеж)",ФРОМТЕК,45000,,Воронеж,https://hh.ru/vacancy/115113366
109129328,Оператор разметки данных,Т-Банк,10000,,Омск,https://hh.ru/vacancy/109129328
114017670,Контент-менеджер,Оско Продукт,100000,,Москва,https://hh.ru/vacancy/114017670
114684456,2D AI Artist,СиДжиФэктори,,,Москва,https://hh.ru/vacancy/114684456
113238903,Менеджер по продажам в AI стартап агрегатор нейросетей,РТ,80000,300000,Санкт-Петербург,https://hh.ru/vacancy/113238903
114200730,Руководитель поддержки клиентов,LiveDune,,140000,Краснодар,https://hh.ru/vacancy/114200730
109559484,Технический директор/CTO,ZennoLab,600000,,Москва,https://hh.ru/vacancy/109559484
111035754,Оператор ПК,Интеграл,45000,60000,Новосибирск,https://hh.ru/vacancy/111035754
112450370,"Support Manager / Специалист технической поддержки (AI, Blockchain)",Мамаева Ирина Анатольевна,,1000,Москва,https://hh.ru/vacancy/112450370
115020169,Интернет-маркетолог,Антизерская Анна Юрьевна,105000,130000,Москва,https://hh.ru/vacancy/115020169
